text;hatespeech
Ex-ativista LGBT se torna pastor e inspira filme: “Estou aqui para honrar a Deus”... https://t.co/B8c0ZW5qAd;no
Ex-candidato do PSOL é preso por estuprar cães e portar drogas. Estes são piores que o PT, são aberrações. (Vídeo) _ https://t.co/eOysLFT1yo;yes
Excelente pergunta! Cidade abandonada!! Centro completamente dominado por camelôs, agentes da CET Rio sumiram do tr _ https://t.co/z66lz9CSD8;no
"EXEMPLO DE PAI, SORTE DAS FILHAS.
ESSE NUNCA VAI CHORAR NO BANHO. https://t.co/spcJwx0ZOc";no
Exemplo: Nizan Ganaes é um Bundão.;no
Ex Gays existem. https://t.co/kUkFDz294y;yes
existem dois tipos de casais https://t.co/ozTrbrTyJY;no
Existem mulheres ladras, canalhas, safadas, dissimuladas.... sinto muito se voce não sabia disso !! Feliz dia das m _ https://t.co/KwOFFQXWaj;yes
existem negros nazistas sim;yes
"Existem pessoas que ainda jogam ao 'Perguntados' em 2017.
E ainda se admiram que o mundo vá acabar hoje";no
Existem várias formas de noticiar um mesmo assunto. Infelizmente, alguns escolhem e pior. Felizmente, outros não. https://t.co/gKjEYzrsDb;no
"@expresso @HenriquMonteiro 
Explicado?? Diria antes, deturpado e diabolizado. Como qualquer um que se insurja contra o sistema, é odiado.";no
#Extra #DonaldTRUMP revogou a ordem de #Obama  e retirou os banheiros transgêneros das escola. parabéns... https://t.co/pDNr2gXXeu;yes
#Extra Próxima novela das 9,abordará transgêneros, desde a infância. Lembre-se que a associação Americana de... https://t.co/9cQuI5EmJc;no
fábio esta na minha frente e parece uma sapatão masculina;yes
@FabisMorelli miga nao tem livro de estudos em promoçao , mulher é burra;yes
Faço churrasco dessa carne o dia inteiro https://t.co/jartybLaNe;no
FAKE NEWS! Toda a gente sabe que só os brancos praticam a escravatura e que o Islão é a religião da paz. Só propaga _ https://t.co/0Z0o0cFRk6;yes
fala ae seus esquerdopata;yes
Fala ai mariquinhas e afins.... Como vai a falta de culhão para resolver qualquer coisinha ?;yes
fala da tua squad —_ um bando de fufas muito queridas <333 https://t.co/rA9YQ35HtJ;yes
fala de mim estúpido —_ És feia, gorda, chata, não curto de ti https://t.co/xPWkVAMfuE;yes
Falam de Trump, mas vários países também não aceitaram refugiados – DexMag - https://t.co/LJ3ApghgaB via @dexmagazine;yes
Falando em tpm, minha menstruação ta atrasada 2 semanas... Se eu não fosse sapatao ia estar preocupada;yes
Fala que odeia a PM agora @alibanio_ https://t.co/dvJ4a2We4d;yes
falar a verdade. Te incomoda? https://t.co/U8kUA7jCRy;no
Falei mal de macho e no DIA DA MULHER tava falando deles mas que burra n é msm;yes
Falou a q chama as pessoas de burra só pq ela não quer ficar em casa fazendo seu papel de mulher: LAVAR LOUÇA https://t.co/dGba7kK2oy;yes
Falou 'populista' já sei que é da turma 'fake news' e RETARDADO! https://t.co/Dr87lJ0zBg;no
falou tudo !!! FEMINISMO é capacho da esquerda e PONTO FINAL @helenbraun_ https://t.co/k7qtCbEOLx;no
"Faltam neste momento, pelo menos, 1200 Guardas Prisionais nas nossas cadeias. 
https://t.co/s8KYk8ecNt#GuardasPrisionais #Portugal";no
@Famel_Zundapp bom dia! Finalmente metes uma foto tua!;no
@Famel_Zundapp e a Famel, cabe na Quechua?;no
@Famel_Zundapp eu também já tive um colchão assim...;no
@FaniPacheco não é deformidade. É excesso de gostosura e tá linda assim. Pq gorda tem que ser feia?;no
farta de procurar trabalho, ainda me meto mas é a trabalhar num bar de fufas, mais vale;yes
Fascista, machista, nazista, trapezista, taxista, maratonista, eletricista, mas e corrupto? kkk https://t.co/fQ5KK6vxH7;yes
Fascistas machistas mimimi mimimi https://t.co/m81sXtGhGn;yes
Fãs de Justin Bieber e seus acessórios https://t.co/IESZyMre5y;no
"Fátima Bernardes não pára de repetir 'o estrago que o homem branco causou' ao chegar no Brasil. 
Vai estudar, vai, sua besta!";yes
@FatimaRD como em qualquer outro jogo de casino, a Casa terá sempre de ganhar. E se for Santa!...;no
@FatimaRD o Santana é que os topa!;no
FATO: Estamos em plena extinção, o mundo esta sendo dominado por bibasexuais, creminhosexuais, saladinhasexuais, metrosexufrangas!;yes
Fato ocorrido em NOVA YORK, reduto DEMOCRATA onde Trump perdeu de lavada, mas o agressor era trumpista??!? Vocês sã _ https://t.co/9io5RbMWoQ;no
@FatosEsquerda é a ixquerda desconstruindo a pedofilia;no
FATO: Tem muita mulher que é muito mais @homemdeverdade do que muito mariquinha fresco por ai !;yes
FAZ ASSIM, FALA COM ELE: OU SUA MAMÃE PARA DE SE OFERECER OU PASSAREI A LINGUIÇA NELA. HONESTIDADE É SEMPRE O CAMIN _ https://t.co/dcaofcwXCK;yes
faz campeonato de peido com os amigos.;no
Faz esse favor pra gente @bfhiago https://t.co/YfMs3DD6Q5;no
"Faz muito bem. Chega de #FakeNewsMedia !
#Trump https://t.co/PDgPYsCL9A";no
faz pontaria em qlq coisa q der na telha com jato de mijo.;no
"'FAZ SUCESSO' 
'POSTAGENS INSPIRADORAS' 
Esse é o nível da grande imprensa brasileira https://t.co/u7RJ39XZj5";no
"@fcancio 
ahahahahah os média?? São a maior pouca vergonha, manipuladores, tendenciosos.
Mas... ainda continua a pensar no Trump? Livra!...";yes
"@fcancio 
Ainda não sou 'estadista' e já está nervosa? https://t.co/yJxL6NpQYJ";yes
@fcancio Estava a pensar no Trump. :);no
"@fcancio 
Faz ele muitíssimo bem!";no
"@fcancio 
Pesadelo? Naaaa... Um sonho que vai tomando contornos de realidade.";no
@fcancio, peso-pesado do gangue da comunicação social. Apesar da censura cobarde e de ridicularizarem quem se opõe, já começam a tremer.;no
"@fcancio 
Só pensa no Trump. Só fala do Donald. Algum fetiche?
Claro que ele é uma esperança de um novo amanhecer, mas varie no tema. ;)";no
"@fcancio 
Tão 'tolerantes' o democratas, mas não sabem perder. Os hipócritas ressabiados vão esgotar o medicamento https://t.co/sEsLcWaILG";no
@FCMorango dá uma fuçada lá, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso);no
@fcnossamorango Excelente post, história tb... :);no
Fds eus eu que hj é dia da mulher mas tas-te a fzr de burra como é que foi outra pessoas a escrever o teu título do _ https://t.co/3amPtQETk7;yes
FECHEM O JUDICIÁRIO BRASILEIRO!! FALAR A VERDADE AGORA DÁ MULTA! #paíspiada https://t.co/txhzaC1E4F;no
"Federer foi enorme.
O Rei voltou";no
@Feherrr Constantine é bem foda mesmo;no
Feia Bonita, Gorda Ou Magra Mulher Foi Feita Pra Ser Respeitada;no
Feia ou bonita, gorda ou magra, seja como for, mulher nasceu para ser respeitada!;no
Feia ou bonita , gorda ou magra seja como for mulher nasceu para ser respeitada . Feliz dia da Mulher para todas nós;no
@FeiticeiraDrink Já percebeu que só militante feia e gorda  fala mal de homem ?;yes
@fejao2 @NandoMorais3110 @g1 Para de ser massa de manobra das esquerda cara https://t.co/ALodwaOeVZ;yes
feliciano não é estuprador gente isso é tudo marketing da esquerda;yes
@felipefepacivil  kkkkkkkkkkkkkkk  a abelha sempre voltaaaa  rsrs;no
@felipefepacivil  não sei '-' só completei a música... Rs;no
@felipefepacivil viajei só com uma mochila tb... 4 Dias;no
@FelipeHamachi o desespero pra ganhar uma foda tá demais;no
"Felipe Neto era foda em meados de 2009/2010/2011, mandava bem no humor negro!
Virou um personagem bicha pra ganhar money da gayzada";yes
"FELIPE NETO X PASTOR MALAFAIA 
IGUAL A ARGENTINA X ESTADO ISLÂMICO
NÃO TEM COMO ESCOLHER UM LADO
SÓ QUERO VER SANGUE #PAZ";yes
@felipetlo @Felipebastos022 gorda e feia só se tiver bêbado;yes
Feliz dia da: Gorda, da feia, da magrela, da bruxa, da velha, da frágil, da empregada...;yes
"Feliz dia da mulher ....da M-U-L-H-E-R
  #DiaDaMulher #BolsonaroReiDoMundo
FELIZ DIA DAS MULHERES
Dia Internaci _ https://t.co/2KgqXloDpw";no
"Feliz Dia da Mulher!
#DiaDaMulher https://t.co/hHeS4bmMlC";no
#FelizDiaDaMulher essa história merece ser revista. https://t.co/8a4k7BEiXz;no
feliz dia da mulher pra mim, que aguento tanta gente ignorante, machista e burra, com um sorriso no rosto sem dar na cara de ninguém;yes
FELIZ DIA DA MULHER #SerMulherÉ não ser usada pelo feminismo de esquerda. https://t.co/mnGPAKvj7M;yes
Feliz Dia Da Mulher só p/ as mulheres brancas,pq o dia da mulher negra latino americana e caribenha,é dia 25 de julho!Segregação da esquerda;yes
"feliz dia das mães pras mães de verdade 
#NaoAoAborto";no
Feliz dia das mulheres do bem, de direita e que com suas vozes e seus atos fazem do Brasil um país melhor ! https://t.co/P1QNj5QUmz;no
Feliz Dia das Mulheres Femininas!;no
Feliz dia das mulheres! https://t.co/B4DysDuGw4;no
feliz dia das mulheres para Beatriz, que foi vitima de estupro coletivo por 33 caras no RJ. sem apoio algum e ainda com gente duvidando dela;no
Feliz Dia das mulheres pra nós!!!!;no
"FELIZ DIA DAS MULHERES
PRA QUEM NASCEU HOMEM E ACHA QUE PRA SE MULHER BASTA COLOCAR UMA SAIA O SEU DIA É 1º DE ABRIL
#InternationalWomensDaY";no
Feliz #DiaDasMulheres pras verdadeiras guerreiras que trabalham ou cuidam do lar enquanto as vagabundas lutam pra abortar e andar pelada;yes
"Feliz dia das mulheres pra Tammy Gretchen
Que mesmo depois de várias alterações no chassi, continua sendo mulher!";yes
Feliz dia das mulheres pra você que se depila e não faz textão no Facebook!;yes
Feliz dia das mulheres que vieram na embalagem certa! https://t.co/hl3A1wmiXz;no
Feliz dia das mulheres @RachelSherazade, certamente a principal voz feminina na TV;no
Feliz Dia de São Valentim https://t.co/uzJ7UKTS8l;no
Feliz dia do amigo que faz escolhas erradas!;no
Feliz dia do amigo que também come a gordura da Picanha!;no
Feliz dia do amigo que toma pinga!;no
Feliz dia do 'essa é puta', 'essa é vadia' 'essa é feia' 'essa é gorda', huuuuum essa é gostosa. Feliz dia do... https://t.co/WhU5Qar7lg;yes
Feliz dia do 'eu só acho engraçado que...';no
Feliz dia do 'Eu só acho engraçado que......';no
feliz dia do 'eu to gorda, feia e inchada' feliz dia da TPM meninas;yes
Feliz dia internacional da mulher! https://t.co/zcICp6wAWp;no
Feliz #DiaInternacionalDaMulher pra quem possui o cromossomo XX;yes
"Feliz dia internacional das kiridinhas!!!
https://t.co/xyzFLD63uMhttps://t.co/OBtcfYhfsN";no
"Feliz dia MULHERES !
E que o SENHOR nos proteja do
Islão no
Brasil !";yes
FELIZ DIA PRESIDENCIAL - VAMOS TORNAR A AMÉRICA GRANDE NOVAMENTE!;no
Feliz dos homens que gostam de mulheres - http://look-look.tumblr.com/;yes
Feliz seja o dia da mulherada, feia ou bonita, magra ou gorda, todas as mulheres merecem respeito. #QuartaDetremuraSDV;no
"Feminismo: 
- defende TODAS as pautas da esquerda.
- é só a esquerda perder eleição que faz protesto
- nunca protes _ https://t.co/SWatIvzKwv";yes
Feminismo é só amor sim, pode confiar... https://t.co/CypMPgCE84;no
Feminista é tudo mal comida;yes
feministas defendem uso de hijab como se fosseEMPODERAMENTO mas nem mencionam q se a mulher não usar o marido espan _ https://t.co/2FfWOByp4d;yes
feministas deveriam passar 18 horas por dia lavando louça, sem descanso!;yes
Feministas, o mundo é melhor sem vocês;yes
Feministas ou sindicatos vão lá protestar?? https://t.co/ns1bcccmYO;no
@ferkmaciell @editorahumanas @FlavioBolsonaro vai na páginad o Flavio, ele fez uma live explicando;no
@fgeovanelima mas ele jamais superará Cesar Romero;no
"@fguedesramos 
Calhau com olhos ;)
:)";yes
FHC amigo do Lula pra implantar comunismo no Brasil Foro de São Paulo pra virar Venezuela https://t.co/CuZJH50Gyq;no
Fica a mensagem aí para todas as  seguidoras https://t.co/Bx4WMW8Qxq;no
Ficámos agora a saber que o preço da electricidade e da água vão sofrer aumentos para o próximo ano. https://t.co/EYaj7x49dA;no
Ficar definindo significado em tatuagem é coisa de mulheres e tcholas;yes
FICA TRANQUILO IRMÃO VÁRIAS DAS MINHAS TRANZAS JÁ ACABAM COM CHORO E ZOAÇÃO FAZ PARTE @JOAQUINRESPONDE https://t.co/yGwTy17tSJ;no
Fico imaginando se o @omelete realmente acha que se mulheres negras q não 'chegaram lá' por sofrerem racismo são 'vitimistas'.;no
16:13 FILHA DE FAMOSA DEPUTADA É BARRADA NA ENTRADA POR PORTAR DROGAS E SER MENOR DE IDADE. AVISAMOS SUA MÃE, ELA PROMETEU NOS PROCESSAR.;no
@filhadolula eu lutei mas ai ela raspou a cabeça e ta mto sapatão isso ta acabando cmg...........;yes
Filha zé droga, ex-marido traficante, cunhado pedófilo. Essa são as pessoas que rodeiam @mariadorosario, deputada q _ https://t.co/pkysqKQDje;yes
"Filho de peixe...
Aprendeu cedo a se locupletar como o pai, o ladrão @SergioCabralRJ https://t.co/OjproWAaLE";yes
Filho de @SergioCabralRJ não tem condição moral de dar carteirada em ninguém https://t.co/wm8nqW1ksQ;yes
filho nunca segurou e nunca vai segurar macho, ainda mais se for esses mlq da vida,mulher q engravida sabendo q o cara é safado,é burra sim;yes
Filhos de pai incógnito quase duplicaram em 2016! Eu já andava desconfiado que há por aqui cada vez mais filhos da put@...;yes
Filme de ex ativista gay que se tornou pastor causa polêmica -... https://t.co/ZO3DmrUtpq;no
Filme de País Iraniano que apedreja gays e degola cristãos,ganha Oscar de filme estrangeiro e diretor crítica _ https://t.co/sV1q8Ks7F6;yes
"FILMES PORNÔS, MASTURBAÇÃO E PUTEIRO.
OBRIGADO PELO PERGUNTA @sophiaabrahao https://t.co/GwF1E0EJ3U";no
Filtro Branco para Coador Hario V60 - 02... Apenas R$62.00 Acesse https://t.co/94qzFbuWyX #Casa #oferta #desconto _ https://t.co/1MfsVXQSc9;no
Fim do Mundo foi cancelado pq o Aeroporto da Portela já não tem capacidade para receber + asteróides devido à saturação do seu espaço aéreo.;no
Final de semana = foda-se !;no
Final do dia das mulheres e vc ja pode ser feliz por não ser MARXISTA (ja que nao pode dizer feminista né, q pegam _ https://t.co/T0Xe98ultC;yes
"finalmente essa gorda velha saiu 
agora é só esperar o dólar abaixar pra eu poder ir pra disney sem preocupações";yes
finalmente os problemas do brasil vão se resolver com o governo do nosso querido e amado michel temer #TchauQuerida;yes
"Finalmente um Presidente de jeito nos #USA! 
A esperança forte de que algo pode realmente começar a mudar. Força Tr _ https://t.co/Anyb5ecl6G";no
Fiquei sem internet ontem o dia inteiro e até descobri q tem um pessoal aqui em casa até sentei com eles na mesa acho q é minha família;no
Fisco deixou sair 10 mil milhões p/ offshores sem qq controlo, mas se o meu pai transferir p/ mim 5 mil o Banco de Portugal é logo alertado!;yes
Fizeste-me sentir especial...fizeste-me pensar que eu era o tal...afinal fui apenas mais um...Magoaste-me!  https://t.co/pBwFD3qiQg;no
Fiz um pequeno ajuste nessa capa da @VEJA https://t.co/0Bbsisz5Po;no
@fjstex estás a insinuar que algarvios, alentejanos, comunas e fachos não passam de uma cambada de rabetas?!;yes
Fla Flu decisivo e mais um título do Fluminense. Isso só comprova q @alex_borges e @BlogDoPim sabem tudo de política e nada de futebol!;no
Flamengo x Lanús no Equador. Boa ideia! https://t.co/a8FQ3vCPTk;no
"@FlavioBolsonaro  responde as críticas do @MBLivre, @mamaefalei e @Desesquerdizada e fala umas verdades
https://t.co/qcMpKlusku";no
@flavix @editorahumanas já meu FGTS... https://t.co/zDbg6qy9Wu;no
"@fmlrobbery Feminismo: 
-defende TODAS as pautas da esquerda.
-é só a esquerda perder que faz protesto
-nunca prote _ https://t.co/5yYYVvOsoL";no
@fmlrobbery obrigado! outras provas e evidências! https://t.co/h40gR8bzeA;no
"Foda-se a Samira de 9 anos que foi vendida pro Mohamed pedófilo de 70 anos
Vamos falar da Patrícia, atendente que ganha menos que o gerente";yes
"Foda-se
Esqueci-me que todas as feministas são fufas https://t.co/SLGGngREku";yes
"FODA-SE!!!!!!! O que importa???!? 
São maioria em direito, medicina e biologia p ex! https://t.co/HVCb8BwzmW";no
"FODA-SE! 
Quer ceder a toda e qq tentação e não trabalhar?? Pode virar uma cracuda moradora de rua por exemplo... https://t.co/tVyuqQwal4";yes
"Foda-se Rafa...valeu a pena esperar...que 
MARAVILHA";no
@fodemal se não sabe nadar amputa as pernas! Melhor um inválido do que um incompetente.;yes
@fofocasonline e com as crianças eles fazem isso...povo maldito mesmo ! @RachelSherazade https://t.co/GA0Ql2TaYn;no
Foi lamentável e assustador ouvir de Mr. Catra, a seguinte afirmação: “Na realidade não foi o branco que... https://t.co/aKbqmmHVU8;yes
@folha Desrespeito é deixar as pessoas humildes esperando ou sem consulta quando era para  FUNCIONÁRIO estar trabalhando. Medico n é Deus !;no
@fon_sequinha que burra mulher eu levo ele pra vc amanha;yes
FONGAS, FUFAS, SAPATONAS, LÉSBICAS – Capazes https://t.co/VRksVR4JsT;yes
Fora que só tem frangas ali. Bombadinhos chiliquentos, gays que exploram suas condições e pedaços de carne para a massa carcerária!;yes
"FORÇA AO IRMÃO @editorahumanas
#somosTodosEditoraHumanas
AGORA VOLTAREI PRA BEBEDEIRA E PUTARIA, AFINAL AINDA É CA _ https://t.co/KWqFLhM4BX";no
Forró que ouvi ontem: 'O homem que não chamar mulher pra dançar agarradinho é boiola e a mulher que não aceitar é sapatão';yes
Fotos inéditas de um rapaz de bem desavisado que viu metade do programa #AmorESexo antes de desligar a TV https://t.co/4BcJhhroW5;no
@fpdobbin @g1 eita, não é zero... Alemanha avança para restringir uso da burca https://t.co/Z66n4Bz0q5 via @dw_brasil;yes
"FRACO DEMAIS @ptbrasil 
FOLIA MESMO É NO BLOCO PORÃO DO DOPS 
#PAZ https://t.co/Y6FAc4FF9R";no
@Francischini_ feliz dia pra ela tambem https://t.co/9DUdm6ugcL;no
Frangas de plantão ! EU VOLTEI !!!!! CHHUUUUUPAAAAAA;no
@franmoraes2 Boa noite esquisitinha legal... rsrs zzzzzzzzzz bjuu zzzzzzz;no
@franmoraes2 @franmyself Cheirossssssssssssssssssss boa noite!;no
@franmoraes2 PArece que tá morrendo né? Liga naum, tem um cachorro aqui no prédio que sempre confundo com uma foda.. rs;yes
@franmoraes2 Pois é.. hahaha.. vi teu forms..;no
@franmoraes2 Pronto.. É nui aqui tb! =);no
@Frasesdemae dá uma fuçada lá, mãe, primeiro livro da minha amiga @melaineribeiro www.aescritoraeomusico.blogspot.com (eu reviso);no
Freezer Horizontal 439L EFH500S Branco Esmaltec https://t.co/6hFFo3HIya + Cupom de Desconto: RCA-27231 https://t.co/LgcPygFpoN;no
Freixo perdeu. Bandidagem chora;yes
freixo vai legalizar a maconha gente nao deixem isso acontece #LugarDeMaconheiroÉNaCadeia;no
2 FUFAS CONTRA UM PRETO TODO BACA;yes
Fufas decentes hj é o nosso dia, mulheres;no
Fufas de merda, atiram-se a tudo o que mexe.;yes
Fui à praia hj voltei neguinha rsrsrs;no
FUI DIGITAR PALMEIRAS NO GOOGLE, O GOOGLE CAIU.;no
fui na 25 de março hj e nossa gente como é difícil ser índio no brasil viu.... tem ate q vender pulserinha;no
"@fukiingbieber CPS JBE RPRDOB
Caralho porra sapatão 
Jabuti branco educado 
Rato paraplégico rondoniense doença oval bruto";yes
Fuleco é nome de traficante. Tipo 'Jair Cláudio da Rocha Maciel, o Fuleco';no
Furos e até mesmo furos confidenciais ilegais tem sido um problema em Washington há anos. O falido @nytimes (e outr _ https://t.co/wXKcxl4QXL;no
@FussballSehr  O problema que não temos estrutura pra acolher todos os refugiados e ilegais que aqui aportam estamos próximos a mendigar;no
@fvicentedasilva Bom dia! Isto hoje está fraco, não há nada para nos indignarmos...;no
@fvicentedasilva faço isso todas as noites, mas não resulta...;no
@fvicentedasilva os avençados tinham agenda ou carteira?...;no
@fvicentedasilva qq dia vendem contato gourmet;no
@fvicentedasilva vai chover assim tanto no Allgarve?!;no
@gabbrielileal Ai eu deixei ele e tava voltando, mas no meio do caminho, DO NADA apareceu um carro branco, antigão;no
@gabi_bacelar pensava: sou horrorosa, gorda, tosca, feia, chata. ngm vai me querer. n mereço ngm alem dessa pessoa.;no
@gabischneiderrr @CuriousCatMe não, não, na Angola;no
@gabrielaltairc eu to falando dos refugiados da Síria, eles nao vem pra ca, tem um milhao de abrigos em outros paises que acolhe eles;no
@gabrielaltairc vc n entendeu que eu falei nao? refugiados nao vem pro brasil, é mt longe;no
@GabrielCobainn @Vrgs_ @bentomribeiro pega no meu pau seu arrombado, ta defendendo o cara pq, é advogado desse maconheiro agora?;yes
@GabrielCobainn @Vrgs_ @bentomribeiro vai ow, vai se preocupar com a tampa;no
@gabrielcosta101 dizem que não...;no
@GABRIELPlNHEIRO Atras das linhas inimigas tbm é legal;yes
@GABRIELPlNHEIRO caralho, agora que eu to lembrando, esse sexta-feira 13 é o primeiro que o Jason usa mascara né?;no
@GABRIELPlNHEIRO como faço pra te passar conteudo?;no
@GABRIELPlNHEIRO @FakeRede só é legal pq mostra como o Jason morreu;no
@GABRIELPlNHEIRO gostei da gambiarra kkkkkkkkkkkkkkkk;no
@GABRIELPlNHEIRO @ibrags Quem tem Mitomania sou eu que sou fã do Bolsonaro   hahahahahahah  (zuera);no
@GABRIELPlNHEIRO olha isso @jublackpower hahahhah atriz de hollywood dos 80's;no
@GABRIELPlNHEIRO porra, O Patriota tbm né;no
@GABRIELPlNHEIRO @RaquelRangel0 assiste a Serbian Film, se não vomitar passou no teste;no
"@GABRIELPlNHEIRO 
Tem que mostrar essa matéria para a @veramagalhaes";no
@GABRIELPlNHEIRO vão mandar todo mundo para Venezuela;no
@gabrisinhas @LeoLimaDuarte a branca privilegiada vai trabalhar onde quiser, pois a cor da pele não vai impedi-la de conseguir um bom job :);no
@gabrisinhas @LeoLimaDuarte não to a fim de explicar que racismo inverso não existe, aprende sozinha, branquela.;yes
@gabrisinhas @LeoLimaDuarte nossa miga, cê acha mesmo que a vida de um negro é mais fácil? tu não sabe o que é preconceito.;no
@gabrisinhas @LeoLimaDuarte o meu mundo é bem real, já o seu parece conto de fadas, já que a vida de negro é bem mais fácil.;yes
@gabrisinhas @LeoLimaDuarte pois é, to muito ocupada denunciando racista q acha que a vida é fácil;yes
@gabrisinhas @LeoLimaDuarte poxa, cê tá com medo de ficar enrugada? tá com medo que o filho da empregada entre na tua sala da facul?;yes
@gabrisinhas @LeoLimaDuarte que dó da branca privilegiada que não conseguiu passar em engenharia mas o papai vai pagar.;yes
@gabrisinhas @LeoLimaDuarte quem falou de processo foi seu amigo, fia.;no
@gabrisinhas @LeoLimaDuarte racismo inverso é mimimi de branco. deus é uma palavra que existe, mas deus não existe miga;yes
@gabrisinhas @LeoLimaDuarte rindo do próprio racismo, essa é d+;no
@gabrisinhas @LeoLimaDuarte vamo parar de reclamar de cota e estudar mais?;no
@gabrisinhas @LeoLimaDuarte vc acha que o racismo é culpa dos negros agora?;no
Galera do Rio: uma mulher foi sequestrada ontem depois de sair do bloco AGYTOÊ e as amigas dela precisam de ajuda... https://t.co/6PstdV4uw0;no
galera eu notei que muitos donos de labradores acabam ficando cegos. NÃO COMPREM MAIS LABRADORES GENTE!!!;no
galera p comemorar o Dia Internacional da Síndrome de Down meu priminho vai mandar um recado pra vcs no proximo tweet *__*;no
Galera que se diz DEMOCRATA e defensora dos DIREITOS é a primeira a não reconhecer o resultado de eleições LIVRES E DEMOCRÁTICAS.;yes
Galera, tenho umas fotos pra mostrar de terça, quando a sra @angelicamorango deu entrevista pra uma revista com vestido micro.. querem?;no
galera vamos ajudar o léo ta perdido até hoje, ninguém o viu por ai?? #voltaLeo  :( http://t.co/3eisCf2Hpx;no
@g1 a questão não é preconceito. É a ilegalidade! Drogas que entram pelo México e terroristas travestidos de refugiados.;no
garota vai se tratar! Eu esfrego argumentos lógico, fatos e verdade na tua cara, mostrando o quanto vc é uma ingênu _ https://t.co/ZpIPVyCNDc;no
@gaviaochis e ai senhor @MarceloFreixo ..vai pra guerra? ou quando a policia chegar o sr. vai voltar para o RJ ou sair no carro blindado?;no
@gaviaochis tão levando pra casa da maria do rosário ???;no
"'Gay é expulso de casa por ser gay'
Eu fui expulsa mesmo sendo hétero,sem ter feito nada
O preconceito só é uma desculpe p/ a falta de amor";no
Geisy no Fantástico se deu nota 8! Más noticias Geisy, isso é ilegal, a gente é quem tem que dar a nota. E vc é um 4 ruim !;yes
gente a mulher maior cdf na cozinha ainda veio do texas formada #MasterChefBR;yes
Gente a mulher parece aquelas tia que fica na cozinha mas na verdade ela é um gênio da física #MasterChefBR;yes
"- gente a pec 241 é pra reduzir gastos!!!!
- mas e o aumento de salário dos deputados?
- É CULPA DO PT";yes
@gentebranca1 aproveitem o BBB e denunciem.;no
@gentebranca1 (eu to ???? com esse print sério gente);no
@gentebranca1 me pergunto como faziam pra passar vergonha antes da internet https://t.co/TDHN41iyDC;no
@gentebranca1 negras não pode pintar cabelo É APROPRIAÇÃO O K http://t.co/bC5yqdB78f;yes
@gentebranca1 no perfil dele ainda contém machismo.;yes
@gentebranca1 os negro não tá nem aí pode usar o que quiser http://t.co/gX57yWDWvN;yes
@gentebranca1 (os rts que eu dou ou links de tweets que eu posto, eu fico esperando que vcs me ajudem a 'ensinar' como podem, no passaran!);no
@gentebranca1 quanto mimimi de cota pelo amor brancos melhorem;yes
@gentebranca1 se vcs jogarem o user dela e a palavra 'negro' vão ver que só fala bosta;yes
@gentebranca1 vamo parar de falar porque gente branca quer http://t.co/Us79klz55x;yes
Gente, dá uma atenção aqui pra esse sujeito, pq ele tá o dia todo mandando mensagem quase implorando atenção nessa _ https://t.co/reZgsj2Pxk;no
Gente, é o Trump que é 'difícil'! Não é a imprensa que o persegue desde o início com mentiras inclusive... https://t.co/cHfouA36Le;no
gente eu não sou latino só por ter nascido no brasil né, latinos são sujos, eu tomo banho;yes
Gente, li piadinhas fodas agora.. vou trazer uma, perai;no
@gentemagra1 apresenta pra ela miga @homemcis;no
GENTE ME ADD AI http://t.co/s9o47AKx;no
"Gente, o Trump é sensacional. 
Mas essa mulher....Essa mulher é um MITO!!!!
@josuecurty3000 @RachelSherazade _ https://t.co/7zQKxyGXPL";no
GENTE POR FAVOR o preconceito está na sua cabeça;no
GENTE QUE ACREDITA EM DUENDES KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK VOCÊS SÃO MTO TROUXAS DUENDES MENTEM MUITO;yes
Gente, quem tá no pique de um JV??? Coisa leve.. Ou não! rsrsrs;no
Gente, sapatão é uma coisa q me assusta https://t.co/hYXY938g3G;yes
Gente sou da Angola, e vim pra São Paulo Estou aqui no Museu do Palmeiras e gostaria de saber porque não achei a taça de campeão mundial?;no
Gente, tá ABSURDAAAA a briga Jô Soares X @carpinejar huahahhuahau;no
"Geração palavras machucam
Já me cansei disso
Ñ posso falar nada q o cara ofendido para d falar comigo
VÊ SE VIRA HOMEM RAPA,DEIXA D FRESCURA";yes
"@geraldoalckmin_  falou que o @jairbolsonaro ia despencar     
kkkkkkkkkkkk https://t.co/XKaKosmq1A";no
@g1 fake news...quem ta fazendo isso é aluta de classes que a esquerda americana implantou https://t.co/3fJR6cRbIl;no
@g1 falou 'coletivismo' ....já sei que não presta ..;no
"@g1 hahahah  Só 3 maconheiras vaiam o Mito: vira notícia;
E isso aqui, G1?https://t.co/bJoBtNqGfq";no
@Giane13 sapatão? isso é bem coisa de sapatão shauishaius;yes
@giovannaaramoss então pra falar dos Sírios refugiados, eu teria que ser um sírio refugiado? (juro que não é gastação);yes
@GiovannAmanda A maioria dos argumentos dos fans do Bolsonaro é que toda feminista é feia, cabeluda, gorda etc;yes
@GirafaDaTata sim, odeio sua atitude escrota de ser sapatão;yes
@girlwithamask1 @DanSouza1988 não dá mesmo, o encanto acabou total! E o engraçado é q ele dizia q quando estava com a Laura em Angola ela;no
